variable;jahr;bachelor_gesamt;master_gesamt;bachelor_weiblich;bachelor_maennlich;master_weiblich;master_maennlich
pruefungsabschluesse;2016;231;182;104;127;84;98
pruefungsabschluesse;2017;235;201;104;131;95;106
pruefungsabschluesse;2018;330;211;142;188;83;128
pruefungsabschluesse;2019;273;212;121;152;94;118
pruefungsabschluesse;2020;197;179;92;105;82;97
pruefungsabschluesse;2021;280;220;116;164;102;118
pruefungsabschluesse;2022;220;199;83;137;86;113
pruefungsabschluesse;2023;;;;;;
pruefungsabschluesse;2024;;;;;;
pruefungsabschluesse;2025;;;;;;
